;date;Confinement ;Phase;Phase
258;2020-09-11 18:00:00;0;1ère phase;0
259;2020-09-11 19:00:00;0;1ère phase;0
260;2020-09-11 20:00:00;0;1ère phase;0
261;2020-09-11 21:00:00;0;1ère phase;0
262;2020-09-11 22:00:00;0;1ère phase;0
263;2020-09-11 23:00:00;0;1ère phase;0
264;2020-09-12 00:00:00;0;1ère phase;0
265;2020-09-12 01:00:00;0;1ère phase;0
266;2020-09-12 02:00:00;0;1ère phase;0
267;2020-09-12 03:00:00;0;1ère phase;0
268;2020-09-12 04:00:00;0;1ère phase;0
269;2020-09-12 05:00:00;0;1ère phase;0
270;2020-09-12 06:00:00;0;1ère phase;0
271;2020-09-12 07:00:00;0;1ère phase;0
272;2020-09-12 08:00:00;0;1ère phase;0
273;2020-09-12 09:00:00;0;1ère phase;0
274;2020-09-12 10:00:00;0;1ère phase;0
275;2020-09-12 11:00:00;0;1ère phase;0
276;2020-09-12 12:00:00;0;1ère phase;0
277;2020-09-12 13:00:00;0;1ère phase;0
278;2020-09-12 14:00:00;0;1ère phase;0
279;2020-09-12 15:00:00;0;1ère phase;0
280;2020-09-12 16:00:00;0;1ère phase;0
281;2020-09-12 17:00:00;0;1ère phase;0
282;2020-09-12 18:00:00;0;1ère phase;0
283;2020-09-12 19:00:00;0;1ère phase;0
284;2020-09-12 20:00:00;0;1ère phase;0
285;2020-09-12 21:00:00;0;1ère phase;0
286;2020-09-12 22:00:00;0;1ère phase;0
287;2020-09-12 23:00:00;0;1ère phase;0
288;2020-09-13 00:00:00;0;1ère phase;0
289;2020-09-13 01:00:00;0;1ère phase;0
290;2020-09-13 02:00:00;0;1ère phase;0
291;2020-09-13 03:00:00;0;1ère phase;0
292;2020-09-13 04:00:00;0;1ère phase;0
293;2020-09-13 05:00:00;0;1ère phase;0
294;2020-09-13 06:00:00;0;1ère phase;0
295;2020-09-13 07:00:00;0;1ère phase;0
296;2020-09-13 08:00:00;0;1ère phase;0
297;2020-09-13 09:00:00;0;1ère phase;0
298;2020-09-13 10:00:00;0;1ère phase;0
299;2020-09-13 11:00:00;0;1ère phase;0
300;2020-09-13 12:00:00;0;1ère phase;0
301;2020-09-13 13:00:00;0;1ère phase;0
302;2020-09-13 14:00:00;0;1ère phase;0
303;2020-09-13 15:00:00;0;1ère phase;0
304;2020-09-13 16:00:00;0;1ère phase;0
305;2020-09-13 17:00:00;0;1ère phase;0
