date,Vehicules
9/12/2021,68.96374326
9/13/2021,73.55700326
9/14/2021,63.2329831
9/15/2021,62.84827264
9/16/2021,78.68612132
9/17/2021,76.99819168
9/18/2021,75.04692633
9/19/2021,78.10595703
9/20/2021,65.32910156
9/21/2021,77.50485437
9/22/2021,80.85861423
9/23/2021,81.67224547
9/24/2021,77.03675136
9/25/2021,74.88805621
9/26/2021,59.5546913
9/27/2021,63.9905303
9/28/2021,77.08822192
9/29/2021,71.95235935
9/30/2021,77.80358744
10/1/2021,66.16214995
10/2/2021,57.7816092
10/3/2021,54.9722365
10/4/2021,72.23314607
10/5/2021,60.8389753
10/6/2021,73.10952119
10/7/2021,79.50546838
10/8/2021,75.90520018
10/9/2021,72.74712644
10/10/2021,68.66320988
10/11/2021,66.98574822
10/12/2021,75.42957417
10/13/2021,76.70378928
10/14/2021,80.54667905
10/15/2021,75.33615693
10/16/2021,74.55376599
10/17/2021,66.41821743
10/18/2021,69.0754352
