iter	Passed	Remaining
832	11903	2386
833	11918	2372
834	11932	2357
835	11946	2343
836	11963	2329
837	11977	2315
838	11991	2301
839	12004	2286
840	12018	2272
841	12031	2257
842	12044	2243
843	12059	2228
844	12072	2214
845	12085	2199
846	12099	2185
847	12113	2171
848	12127	2156
849	12140	2142
850	12155	2128
851	12170	2114
852	12185	2099
853	12200	2085
854	12215	2071
855	12230	2057
856	12247	2043
857	12264	2029
858	12279	2015
859	12294	2001
860	12310	1987
861	12325	1973
862	12339	1958
863	12353	1944
864	12367	1930
865	12381	1915
866	12397	1901
867	12410	1887
868	12424	1872
869	12437	1858
870	12451	1844
871	12465	1829
872	12480	1815
873	12494	1801
874	12509	1787
875	12523	1772
876	12538	1758
877	12553	1744
878	12567	1729
879	12583	1715
880	12598	1701
881	12614	1687
882	12628	1673
883	12643	1659
884	12658	1644
885	12673	1630
886	12686	1616
887	12699	1601
888	12712	1587
889	12726	1572
890	12740	1558
891	12754	1544
892	12767	1529
893	12779	1515
894	12793	1500
895	12808	1486
896	12822	1472
897	12836	1457
898	12850	1443
899	12865	1429
900	12880	1415
901	12895	1401
902	12908	1386
903	12922	1372
904	12936	1357
905	12950	1343
906	12968	1329
907	12983	1315
908	12996	1301
909	13010	1286
910	13026	1272
911	13038	1258
912	13051	1243
913	13065	1229
914	13078	1214
915	13091	1200
916	13105	1186
917	13120	1171
918	13133	1157
919	13146	1143
920	13160	1128
921	13173	1114
922	13188	1100
923	13202	1085
924	13216	1071
925	13232	1057
926	13246	1043
927	13260	1028
928	13273	1014
929	13287	1000
930	13300	985
931	13314	971
932	13328	957
933	13343	942
934	13358	928
935	13373	914
936	13388	900
937	13401	885
938	13418	871
939	13432	857
940	13446	843
941	13460	828
942	13473	814
943	13487	800
944	13501	785
945	13514	771
946	13528	757
947	13541	742
948	13555	728
949	13570	714
950	13584	699
951	13598	685
952	13611	671
953	13626	657
954	13640	642
955	13654	628
956	13669	614
957	13682	599
958	13695	585
959	13708	571
960	13722	556
961	13735	542
962	13748	528
963	13762	513
964	13775	499
965	13789	485
966	13802	471
967	13816	456
968	13829	442
969	13844	428
970	13859	413
971	13874	399
972	13888	385
973	13903	371
974	13917	356
975	13931	342
976	13946	328
977	13960	314
978	13973	299
979	13996	285
980	14008	271
981	14022	257
982	14035	242
983	14051	228
984	14066	214
985	14081	199
986	14094	185
987	14109	171
988	14124	157
989	14138	142
990	14153	128
991	14167	114
992	14182	99
993	14196	85
994	14210	71
995	14224	57
996	14239	42
997	14254	28
998	14267	14
999	14281	0
